AUTHOR_ID,LAST_NAME,NAME,TITLE,PUBLISHERS
213-46-8915,Marjorie,Green,"The Busy Executive's Database Guide","Algodata Infosystems"
409-56-7008,Abraham,Bennet,"The Busy Executive's Database Guide","Algodata Infosystems"
267-41-2394,Michael,O'Leary,"Cooking with Computers: Surreptitious Balance Sheets","Algodata Infosystems"
724-80-9391,Stearns,MacFeather,"Cooking with Computers: Surreptitious Balance Sheets","Algodata Infosystems"
213-46-8915,Marjorie,Green,"You Can Combat Computer Stress!","New Moon Books"
274-80-9391,Dean,Straight,"Straight Talk About Computers","Algodata Infosystems"
712-45-1867,Innes,"del Castillo","Silicon Valley Gastronomic Treats","Binnet & Hardley"
722-51-5454,Michel,DeFrance,"The Gourmet Microwave","Binnet & Hardley"
899-46-2035,Anne,Ringer,"The Gourmet Microwave","Binnet & Hardley"
238-95-7766,Cheryl,Carson,"But Is It User Friendly?","Algodata Infosystems"
427-17-2319,Ann,Dull,"Secrets of Silicon Valley","Algodata Infosystems"
846-92-7186,Sheryl,Hunter,"Secrets of Silicon Valley","Algodata Infosystems"
486-29-1786,Charlene,Locksley,"Net Etiquette","Algodata Infosystems"
724-80-9391,Stearns,MacFeather,"Computer Phobic AND Non-Phobic Individuals: Behavior Variations","Binnet & Hardley"
756-30-7391,Livia,Karsen,"Computer Phobic AND Non-Phobic Individuals: Behavior Variations","Binnet & Hardley"
899-46-2035,Anne,Ringer,"Is Anger the Enemy?","New Moon Books"
998-72-3567,Albert,Ringer,"Is Anger the Enemy?","New Moon Books"
998-72-3567,Albert,Ringer,"Life Without Fear","New Moon Books"
172-32-1176,Johnson,White,"Prolonged Data Deprivation: Four Case Studies","New Moon Books"
486-29-1786,Charlene,Locksley,"Emotional Security: A New Algorithm","New Moon Books"
807-91-6654,Sylvia,Panteley,"Onions, Leeks, and Garlic: Cooking Secrets of the Mediterranean","Binnet & Hardley"
648-92-1872,Reginald,Blotchet-Halls,"Fifty Years in Buckingham Palace Kitchens","Binnet & Hardley"
267-41-2394,Michael,O'Leary,"Sushi, Anyone?","Binnet & Hardley"
472-27-2349,Burt,Gringlesby,"Sushi, Anyone?","Binnet & Hardley"
672-71-3249,Akiko,Yokomoto,"Sushi, Anyone?","Binnet & Hardley"
