,id,year,month,day,tmax,tmin
0,MX17004,2010,12,d1,29.9,13.8
1,MX17004,2010,2,d2,27.3,14.4
2,MX17004,2010,11,d2,31.3,16.3
3,MX17004,2010,2,d3,24.1,14.4
4,MX17004,2010,7,d3,28.6,17.5
5,MX17004,2010,11,d4,27.2,12.0
6,MX17004,2010,3,d5,32.1,14.2
7,MX17004,2010,8,d5,29.6,15.8
8,MX17004,2010,10,d5,27.0,14.0
9,MX17004,2010,11,d5,26.3,7.9
10,MX17004,2010,12,d6,27.8,10.5
11,MX17004,2010,10,d7,28.1,12.9
12,MX17004,2010,8,d8,29.0,17.3
13,MX17004,2010,3,d10,34.5,16.8
14,MX17004,2010,2,d11,29.7,13.4
15,MX17004,2010,8,d13,29.8,16.5
16,MX17004,2010,7,d14,29.9,16.5
17,MX17004,2010,10,d14,29.5,13.0
18,MX17004,2010,10,d15,28.7,10.5
19,MX17004,2010,3,d16,31.1,17.6
20,MX17004,2010,6,d17,28.0,17.5
21,MX17004,2010,2,d23,29.9,10.7
22,MX17004,2010,8,d23,26.4,15.0
23,MX17004,2010,8,d25,29.7,15.6
24,MX17004,2010,11,d26,28.1,12.1
25,MX17004,2010,4,d27,36.3,16.7
26,MX17004,2010,5,d27,33.2,18.2
27,MX17004,2010,11,d27,27.7,14.2
28,MX17004,2010,10,d28,31.2,15.0
29,MX17004,2010,6,d29,30.1,18.0
30,MX17004,2010,8,d29,28.0,15.3
31,MX17004,2010,1,d30,27.8,14.5
32,MX17004,2010,8,d31,25.4,15.4
